,Keywords,Frequency
192,same,3
193,national,3
194,always,3
195,through,3
196,greater,3
197,state-run,3
198,doesn’t,3
199,people.,3
200,go,3
201,requirement,3
202,time,3
203,seen,3
204,war.,3
205,markets,3
206,many,3
207,officials,3
208,asked,3
209,year.,3
210,worried,3
211,While,3
212,need,3
213,It’s,3
214,Chinese).,3
215,oil,3
216,nuts,3
217,top,3
218,based,3
219,He,3
220,"war,",3
221,up.,3
222,may,3
223,manufacturing,3
224,better,3
225,imports.,3
226,"Mexico,",3
227,front,3
228,Americans,3
229,so-called,3
230,back,3
231,stance,3
232,tensions,3
233,taken,3
234,"Monday,",3
235,exchange,3
236,told,3
237,must,3
238,Washington,3
239,intellectual,3
240,rights,3
241,25,3
242,transfer,3
243,side,3
244,"time,",3
245,accusations,3
246,attempting,3
247,elections.,3
248,warned,3
249,anytime,3
250,South,3
251,Union.,3
252,finance,3
253,chiefs,3
254,week.,3
255,If,3
256,"Beijing,",3
257,chief,3
258,still,3
259,clear,3
260,campaign,3
261,potential,3
262,made,3
263,pain,3
264,elections,3
265,why,3
266,party-state,3
267,seeking,3
268,influence,3
269,outcome,3
270,democratic,3
271,world’s,3
272,orienting,3
273,Huntington,3
274,grand,3
275,creedal,3
276,identity,3
277,freedom,3
278,did,3
279,among,3
280,defines,3
281,cold,3
282,serves,3
283,act,3
284,power,3
285,open,3
286,Western,3
287,liberals,3
288,toward,3
289,especially,3
290,Cold,3
291,took,3
292,editorial,3
293,Hudson,3
294,messed,2
295,think,2
296,By,2
297,win,2
298,support,2
299,sides,2
300,goods.,2
301,"imports,",2
302,done,2
303,worth,2
304,keep,2
305,strongest,2
306,spirit,2
307,run,2
308,opinion,2
309,deeply,2
310,without,2
311,comment,2
312,acknowledge,2
313,added,2
314,half,2
315,off,2
316,growth.,2
317,worrying,2
318,come.,2
319,yuan,2
320,On,2
321,Monday,2
322,day,2
323,fell,2
324,(paywall),2
325,three,2
326,tumble,2
327,bank,2
328,move,2
329,trying,2
330,boost,2
331,haven’t,2
332,“This,2
333,year,2
334,"Weibo,",2
335,working,2
336,firm,2
337,Beijing.,2
338,When,2
339,work,2
340,markets.,2
341,help,2
342,making,2
343,life,2
344,hundreds,2
345,thousands,2
346,hard,2
347,like,2
348,prices,2
349,suddenly,2
350,expensive,2
351,ran,2
352,she,2
353,found,2
354,cost,2
355,"war,”",2
356,feel,2
357,imports,2
358,August.,2
359,environment,2
360,good.,2
361,there’s,2
362,real,2
363,won’t,2
364,before,2
365,can’t,2
366,businesses,2
367,hit,2
368,firms,2
369,50,2
370,response,2
371,"fact,",2
372,Agreement,2
373,argument,2
374,elements,2
375,key,2
376,growth,2
377,terms,2
378,wars,2
379,build,2
380,At,2
381,end,2
382,"September,",2
383,‘non-market-oriented,2
384,needs,2
385,knows,2
386,give,2
387,building,2
388,anti-China,2
389,gave,2
390,am,2
391,"Japan,",2
392,highly,2
393,suggest,2
394,major,2
395,current,2
396,policies,2
397,instead,2
398,down,2
399,"said,",2
400,keeps,2
401,down.,2
402,history,2
403,nation,2
404,times,2
405,never,2
406,rise,2
407,break,2
408,resolve,2
409,yet,2
410,following,2
411,month,2
412,strong,2
413,whose,2
414,Companies,2
415,consumers,2
416,best,2
417,testy,2
418,hurt,2
419,stop,2
420,de-escalate,2
421,punitive,2
422,property,2
423,role,2
424,state-owned,2
425,enterprises.,2
426,imposed,2
427,US$50,2
428,10,2
429,set,2
430,does,2
431,threatened,2
432,Yi,2
433,technologies,2
434,reiterated,2
435,said.,2
436,progress,2
437,opening,2
438,beyond,2
439,relations,2
440,interfere,2
441,using,2
442,undermine,2
443,playbook,2
444,"Bali,",2
445,—,2
446,soon.,2
447,"week,",2
448,given,2
449,hold,2
450,"Korea,",2
451,him,2
452,impose,2
453,"China,""",2
454,senior,2
455,fellow,2
456,Trump's,2
457,likely,2
458,damage,2
459,protracted,2
460,"""The",2
461,stakes,2
462,International,2
463,deals,2
464,reach,2
465,"again,",2
466,what,2
467,coalition,2
468,Europe,2
469,Paris,2
470,climate,2
471,reference,2
472,States.,2
473,approach,2
474,allies,2
475,address,2
476,economies,2
477,weakened,2
478,exports,2
479,mean,2
480,them,2
481,tariffs.,2
482,looms,2
483,government,2
484,ways,2
485,concerns,2
486,relies,2
487,less,2
488,already,2
489,How,2
490,For,2
491,"part,",2
492,Robert,2
493,"place,",2
494,you,2
495,Xi,2
496,Jinping,2
497,leaders,2
498,soon,2
499,appear,2
500,Is,2
501,consequences,2
502,Vice,2
503,wide-ranging,2
504,hostility,2
505,regimes,2
506,around,2
507,world.,2
508,Yet,2
509,outside,2
510,“China,2
511,shift,2
512,administration’s,2
513,"Pence,",2
514,politics,2
515,criticism,2
516,desperate,2
517,Against,2
518,All,2
519,upcoming,2
520,election,2
521,challenge,2
522,observers,2
523,Russia’s,2
524,seems,2
525,"observed,",2
526,very,2
527,large,2
528,numbers,2
529,themselves,2
530,powers,2
531,once,2
532,shape.,2
533,collapse,2
534,defined,2
535,days,2
536,British,2
537,under,2
538,years,2
539,often,2
540,cohesion,2
541,find,2
542,divided,2
543,whom,2
544,supposed,2
545,understand,2
546,liberal,2
547,"Europe,",2
548,2016,2
549,forces,2
550,gay,2
551,=,2
552,liberalism,2
553,defender,2
554,natural,2
555,ally,2
556,defend,2
557,invites,2
558,warier,2
559,populist,2
560,these,2
561,"party-state,",2
562,exactly,2
563,doing,2
564,elite,2
565,sees,2
566,integration,2
567,choose,2
568,One,2
569,industrial,2
570,strategic,2
571,imagine,2
572,ordinary,2
573,stands,2
574,welcome,2
575,sacrifice,2
576,Which,2
577,Pence’s,2
578,Institute,2
579,compared,2
580,Churchill’s,2
581,authoritarian,2
582,calm,2
583,unique,2
584,delivered,2
585,Thucydides,2
586,reason,2
587,distract,2
588,Russiagate,2
589,–,2
590,only,2
591,respect,2
592,“Utterly,1
593,life”:,1
594,really,1
595,Guardian,1
596,Echo,1
597,HuangOctober,1
598,ardent,1
599,determination,1
600,like.,1
601,Since,1
602,entered,1
603,earnest,1
604,tit-for-tat,1
605,$250,1
606,$110,1
607,running,1
608,retaliation,1
609,"going,",1
610,weapon,1
611,“war,1
612,fate”,1
613,"people,",1
614,according,1
615,media.,1
616,heroism,1
617,‘being,1
618,concern,1
619,enjoy,1
620,oneself’,1
621,"blood,",1
622,includes,1
623,‘sacrificing,1
624,one’s,1
625,interest,1
626,good,1
627,"public,'”",1
628,piece,1
629,posted,1
630,People’s,1
631,Daily,1
632,July,1
633,10.,1
634,“Facing,1
635,‘war,1
636,"fate,’",1
637,aware,1
638,‘there’s,1
639,home,1
640,"country,’",1
641,bear,1
642,temporary,1
643,losses.”,1
644,painful,1
645,Economists,1
646,estimate,1
647,latest,1
648,25%,1
649,shave,1
650,percentage,1
651,"Online,",1
652,sharing,1
653,they’re,1
654,experiencing,1
655,impacts,1
656,"far,",1
657,what’s,1
658,Stocks,1
659,"tumble,",1
660,devalues,1
661,"(Oct.7),",1
662,Golden,1
663,Week,1
664,"holiday,",1
665,stocks,1
666,sharply.,1
667,benchmark,1
668,Shanghai,1
669,Composite,1
670,Index,1
671,3.7%—its,1
672,biggest,1
673,single-day,1
674,loss,1
675,months.,1
676,came,1
677,announced,1
678,cut,1
679,reserve,1
680,ratio,1
681,commercial,1
682,banks,1
683,fourth,1
684,year—a,1
685,liquidity,1
686,amid,1
687,"general,",1
688,taking,1
689,stride.,1
690,tough,1
691,me.,1
692,received,1
693,payments,1
694,several,1
695,projects,1
696,"bursts,”",1
697,social,1
698,media,1
699,platform,1
700,identified,1
701,securities,1
702,market’s,1
703,killed,1
704,projects.,1
705,returned,1
706,"home,",1
707,village,1
708,me,1
709,how’s,1
710,My,1
711,"answer,",1
712,"sadly,",1
713,"this—deleveraging,",1
714,bad,1
715,"performance,",1
716,utterly,1
717,life.”,1
718,REUTERS/MARIANA,1
719,BAZO,1
720,Looking,1
721,devalued,1
722,many.,1
723,exporters,1
724,"competitive,",1
725,makes,1
726,tougher,1
727,"currency,",1
728,example,1
729,families,1
730,studying,1
731,abroad.,1
732,“We,1
733,kneeling,1
734,RMB,1
735,[renminbi],1
736,stable,1
737,near,1
738,term.,1
739,Looks,1
740,Great,1
741,Depression,1
742,"arrive,”",1
743,Weibo,1
744,"Snacks,",1
745,Treats,1
746,due,1
747,daily,1
748,necessities.,1
749,yesterday,1
750,wanted,1
751,"stock,”",1
752,female,1
753,northern,1
754,Hebei,1
755,"province,",1
756,she’s,1
757,used,1
758,eating,1
759,every,1
760,"day,",1
761,"pecans,",1
762,commonly,1
763,sourced,1
764,her,1
765,more.,1
766,shop,1
767,"owner,",1
768,‘Why,1
769,time?’,1
770,owner,1
771,it’s,1
772,"continued,",1
773,“And,1
774,"him,",1
775,‘What’s,1
776,relationship?’,1
777,imported,1
778,lots,1
779,overseas.,1
780,impact,1
781,war.”,1
782,Maine,1
783,"lobster,",1
784,forget,1
785,it.,1
786,drivers,1
787,feeling,1
788,"pinch,",1
789,putting,1
790,“I’ve,1
791,felt,1
792,peer-to-peer,1
793,lending,1
794,illegal,1
795,money-raising,1
796,"crackdown,",1
797,bled,1
798,bunch,1
799,Now,1
800,drop,1
801,come,1
802,estate,1
803,market….,1
804,afford,1
805,"car,”",1
806,Small,1
807,harder,1
808,larger,1
809,ones.,1
810,Caixin,1
811,Purchasing,1
812,Managers,1
813,"Index,",1
814,gauge,1
815,sentiment,1
816,"smaller,",1
817,private,1
818,official,1
819,"PMI,",1
820,declined,1
821,50.6,1
822,August,1
823,"month,",1
824,lowest,1
825,level,1
826,number,1
827,below,1
828,indicates,1
829,contraction.,1
830,REUTERS,1
831,soybean,1
832,Pessimism,1
833,People,1
834,aren’t,1
835,optimistic,1
836,ease,1
837,North,1
838,Free,1
839,renegotiated,1
840,Canada—now,1
841,brand-new,1
842,acronym—shows,1
843,formation,1
844,online,1
845,commenters,1
846,noted.,1
847,“Why,1
848,six,1
849,months?”,1
850,male,1
851,micro-blogging,1
852,site,1
853,southwestern,1
854,Sichuan,1
855,province.,1
856,His,1
857,driving,1
858,years—including,1
859,"infrastructure,",1
860,demands—have,1
861,shown,1
862,signs.,1
863,“In,1
864,"worrying,”",1
865,wrote.,1
866,launching,1
867,worldwide,1
868,bypass,1
869,WTO,1
870,[World,1
871,Organization],1
872,something,1
873,new.,1
874,signed,1
875,cooperation,1
876,agreement.,1
877,economy‘,1
878,enter,1
879,"market,",1
880,approval,1
881,countries…,1
882,Everyone,1
883,economy’,1
884,is.”,1
885,(The,1
886,asks,1
887,notify,1
888,“non-market”,1
889,"economy,",1
890,say,1
891,deal.),1
892,“Americans,1
893,circle.,1
894,"round,",1
895,"in,",1
896,Canada.,1
897,afraid,1
898,third,1
899,round,1
900,"Europe,”",1
901,adjustments,1
902,listening,1
903,opinions,1
904,elites.”,1
905,US:,1
906,commerce,1
907,minister,1
908,SCMP,1
909,Amanda,1
910,Lee,1
911,cave,1
912,faces,1
913,"exports,",1
914,Commerce,1
915,Shan,1
916,signalling,1
917,uncompromising,1
918,dealing,1
919,“There,1
920,view,1
921,They,1
922,don’t,1
923,culture,1
924,"China,”",1
925,statement,1
926,published,1
927,Bloomberg,1
928,News.,1
929,unyielding,1
930,suffered,1
931,bullying,1
932,"history,",1
933,succumbed,1
934,conditions.,1
935,out.,1
936,underestimate,1
937,will.”,1
938,release,1
939,white,1
940,paper,1
941,detailing,1
942,blamed,1
943,creating,1
944,painted,1
945,promoter,1
946,trade.,1
947,comments,1
948,"Zhong,",1
949,ministry,1
950,possible,1
951,coincide,1
952,rapid,1
953,deterioration,1
954,ties,1
955,Washington.,1
956,ofCHINA’S,1
957,COMMERCE,1
958,MINISTER,1
959,ZHONG,1
960,SHAN,1
961,"Pompeo,",1
962,brief,1
963,visit,1
964,Yi.,1
965,“mutual,1
966,trust”,1
967,“misguided,1
968,actions”,1
969,“fundamental,1
970,disagreements”,1
971,powers.,1
972,Prospects,1
973,bright.,1
974,locked,1
975,horns,1
976,levying,1
977,gaping,1
978,differences,1
979,slew,1
980,issues,1
981,initially,1
982,September,1
983,additional,1
984,US$200,1
985,"products,",1
986,rate,1
987,January,1
988,1,1
989,concessions.,1
990,pump,1
991,US$110,1
992,intensifies,1
993,extend,1
994,retaliated,1
995,variable,1
996,5,1
997,US$60,1
998,(left),1
999,Photo:,1
1000,AP,1
1001,demanding,1
1002,practices,1
1003,forcing,1
1004,subsidising,1
1005,steal,1
1006,firms.,1
1007,emphasise,1
1008,laws,1
1009,regulations,1
1010,companies’,1
1011,purchases,1
1012,patents,1
1013,pure,1
1014,"behaviour,”",1
1015,“China’s,1
1016,"development,",1
1017,science,1
1018,technological,1
1019,owed,1
1020,reform,1
1021,endeavours,1
1022,people.”,1
1023,turns,1
1024,heat,1
1025,moves,1
1026,battlefronts,1
1027,argued,1
1028,“took,1
1029,US”,1
1030,record,1
1031,surplus,1
1032,US$31.05,1
1033,“If,1
1034,continued?,1
1035,"of,”",1
1036,gone,1
1037,congressional,1
1038,Vice-President,1
1039,stepped,1
1040,attack,1
1041,condemning,1
1042,“every,1
1043,tool,1
1044,disposal”,1
1045,system.,1
1046,"companies,",1
1047,tech,1
1048,giant,1
1049,"Alphabet,",1
1050,owns,1
1051,"Google,",1
1052,disengage,1
1053,rips,1
1054,Donna,1
1055,"Borak,",1
1056,CNN,1
1057,Updated,1
1058,1037,1
1059,GMT,1
1060,(1837,1
1061,HKT),1
1062,October,1
1063,Indonesia,1
1064,(CNN)President,1
1065,After,1
1066,announcing,1
1067,revamped,1
1068,reeled,1
1069,list,1
1070,deal:,1
1071,scoffed,1
1072,"""babies",1
1073,"there""",1
1074,effects,1
1075,suggesting,1
1076,"""we",1
1077,wouldn't,1
1078,"deal""",1
1079,confrontational,1
1080,approach.,1
1081,IMF,1
1082,warns,1
1083,"""That's",1
1084,embolden,1
1085,threaten,1
1086,hopes,1
1087,getting,1
1088,Edward,1
1089,"Alden,",1
1090,Council,1
1091,Relations.,1
1092,no-holds-barred,1
1093,center,1
1094,stage,1
1095,week,1
1096,bankers,1
1097,Indonesia.,1
1098,it'll,1
1099,Treasury,1
1100,Steven,1
1101,"Mnuchin,",1
1102,president's,1
1103,"envoy,",1
1104,argue,1
1105,case,1
1106,warnings,1
1107,intensify,1
1108,"high,""",1
1109,Christine,1
1110,"Lagarde,",1
1111,managing,1
1112,director,1
1113,Monetary,1
1114,"Fund,",1
1115,together,1
1116,"disputes.""",1
1117,'Coalition,1
1118,willing',1
1119,get,1
1120,that's,1
1121,strengthen,1
1122,negotiating,1
1123,position,1
1124,argue.,1
1125,01:58,1
1126,moving,1
1127,characterized,1
1128,confront,1
1129,Larry,1
1130,"Kudlow,",1
1131,"adviser,",1
1132,stages.,1
1133,French,1
1134,Emmanuel,1
1135,Macron,1
1136,shouldn't,1
1137,sign,1
1138,doesn't,1
1139,comply,1
1140,"change,",1
1141,administration's,1
1142,old,1
1143,collaboratively,1
1144,mutual,1
1145,concerns.,1
1146,Other,1
1147,big,1
1148,share,1
1149,main,1
1150,grievances,1
1151,theft,1
1152,companies,1
1153,hand,1
1154,partners.,1
1155,slapped,1
1156,stepping,1
1157,analysts,1
1158,united,1
1159,front.,1
1160,China&#39;s,1
1161,annual,1
1162,Souring,1
1163,he's,1
1164,rush,1
1165,restart,1
1166,"Instead,",1
1167,bigger,1
1168,wave,1
1169,$267,1
1170,products.,1
1171,measures,1
1172,effectively,1
1173,cover,1
1174,sells,1
1175,"""I'm",1
1176,"negotiate,""",1
1177,"""And",1
1178,"hopefully,",1
1179,great,1
1180,fair,1
1181,reciprocal,1
1182,"deal.""",1
1183,Details,1
1184,revised,1
1185,pact,1
1186,replace,1
1187,"NAFTA,",1
1188,amplify,1
1189,Tucked,1
1190,inform,1
1191,others,1
1192,start,1
1193,negotiations,1
1194,"""non-market",1
1195,"economy,""",1
1196,able,1
1197,review,1
1198,upset,1
1199,souring,1
1200,superpowers.,1
1201,frank,1
1202,views,1
1203,immediately,1
1204,"""wrong",1
1205,remarks,1
1206,"actions,""",1
1207,responded,1
1208,"""fundamental",1
1209,"disagreement""",1
1210,"""great",1
1211,actions,1
1212,"taken.""",1
1213,'How,1
1214,endure?',1
1215,Neither,1
1216,showing,1
1217,signs,1
1218,backing,1
1219,"States,",1
1220,"China's,",1
1221,faring,1
1222,far.,1
1223,China's,1
1224,started,1
1225,slowing,1
1226,currency,1
1227,slumped,1
1228,escalated.,1
1229,pumping,1
1230,cash,1
1231,heats,1
1232,is:,1
1233,"endure?""",1
1234,Thomas,1
1235,"Bernes,",1
1236,distinguished,1
1237,Centre,1
1238,Governance,1
1239,Innovation.,1
1240,"""They",1
1241,looking,1
1242,rejection,1
1243,Trumpism,1
1244,gains,1
1245,strength,1
1246,remains,1
1247,"power.""",1
1248,appears,1
1249,maintain,1
1250,can.,1
1251,changed,1
1252,"paradigm,""",1
1253,Representative,1
1254,Lighthizer,1
1255,month.,1
1256,let,1
1257,along,1
1258,forced,1
1259,"property.""",1
1260,expected,1
1261,meet,1
1262,Group,1
1263,20,1
1264,Buenos,1
1265,Aires,1
1266,November.,1
1267,unwilling,1
1268,ground,1
1269,fundamental,1
1270,parts,1
1271,"policy,",1
1272,prospects,1
1273,reaching,1
1274,slim.,1
1275,"""It",1
1276,escalation,1
1277,"avoided,""",1
1278,Andrew,1
1279,"Hunter,",1
1280,economist,1
1281,research,1
1282,Capital,1
1283,Economics,1
1284,note,1
1285,clients,1
1286,Defining,1
1287,Rival?,1
1288,debate,1
1289,policy—it,1
1290,define,1
1291,decades,1
1292,affairs,1
1293,well.,1
1294,OCT,1
1295,Late,1
1296,class,1
1297,transfixed,1
1298,denouement,1
1299,Kavanaugh,1
1300,confirmation,1
1301,"battle,",1
1302,committed,1
1303,opposing,1
1304,expansionist,1
1305,designs.,1
1306,familiar,1
1307,litany,1
1308,complaints,1
1309,coerce,1
1310,neighbors,1
1311,western,1
1312,"Pacific,",1
1313,"abuses,",1
1314,religious,1
1315,"freedom,",1
1316,unsavory,1
1317,halfway,1
1318,"remarks,",1
1319,vice,1
1320,shifted,1
1321,"emphasis,",1
1322,turning,1
1323,various,1
1324,acting,1
1325,borders,1
1326,cultural,1
1327,inside,1
1328,them.,1
1329,"Specifically,",1
1330,"president,”",1
1331,mobilizing,1
1332,“covert,1
1333,"actors,",1
1334,"groups,",1
1335,propaganda,1
1336,outlets,1
1337,Americans’,1
1338,perception,1
1339,policies”,1
1340,end.,1
1341,"now,",1
1342,routine,1
1343,heads,1
1344,multinationals,1
1345,condemn,1
1346,"policies,",1
1347,fact,1
1348,they’d,1
1349,perfectly,1
1350,understandable.,1
1351,violent,1
1352,labor,1
1353,repression,1
1354,policy,1
1355,subsidizing,1
1356,industrialists,1
1357,expense,1
1358,households,1
1359,proved,1
1360,advantageous,1
1361,disciplined,1
1362,relatively,1
1363,low-cost,1
1364,"workforce,",1
1365,regardless,1
1366,citizenship.,1
1367,According,1
1368,"however,",1
1369,layer,1
1370,namely,1
1371,threatening,1
1372,punish,1
1373,fail,1
1374,denounce,1
1375,pointed,1
1376,sophistication,1
1377,exploits,1
1378,"cleavages,",1
1379,evidenced,1
1380,targeting,1
1381,retaliatory,1
1382,regions,1
1383,industries,1
1384,believed,1
1385,crucial,1
1386,"elections,",1
1387,shrewd,1
1388,silence,1
1389,university,1
1390,campuses,1
1391,money.,1
1392,MORE,1
1393,BY,1
1394,Students,1
1395,walk,1
1396,law,1
1397,school,1
1398,University,1
1399,Michigan,1
1400,Elite,1
1401,Law,1
1402,Schools,1
1403,Turn,1
1404,Conservatism,1
1405,Can,1
1406,Strike,1
1407,Back,1
1408,Deep,1
1409,Better,1
1410,Way,1
1411,Absorb,1
1412,Refugees,1
1413,Senator,1
1414,Elizabeth,1
1415,Warren,1
1416,speaks,1
1417,event,1
1418,introduce,1
1419,Medicare,1
1420,Act,1
1421,2017.,1
1422,‘Medicare,1
1423,All’,1
1424,Fantasy,1
1425,keeping,1
1426,blunt,1
1427,insistence,1
1428,“we’ve,1
1429,coming,1
1430,November,1
1431,"administration,”",1
1432,"and,",1
1433,"pointedly,",1
1434,“they,1
1435,me—or,1
1436,us—to,1
1437,ever,1
1438,trade.”,1
1439,implicit,1
1440,raised,1
1441,this:,1
1442,Should,1
1443,meddling,1
1444,meddling?,1
1445,Some,1
1446,dismissed,1
1447,"idea,",1
1448,warning,1
1449,represents,1
1450,distraction,1
1451,ongoing,1
1452,meddling.,1
1453,Others,1
1454,outcomes,1
1455,character,1
1456,"approach,",1
1457,“ineffective,1
1458,"counterproductive,”",1
1459,"that,",1
1460,Rush,1
1461,Doshi,1
1462,D.,1
1463,Williams,1
1464,Brookings,1
1465,Institution,1
1466,cautiously,1
1467,pursued,1
1468,informational,1
1469,"countries,",1
1470,States.”,1
1471,Needless,1
1472,"say,",1
1473,dangerous,1
1474,"rivals,",1
1475,certainly,1
1476,do.,1
1477,age,1
1478,intensifying,1
1479,partisan,1
1480,"enmity,",1
1481,legitimacy,1
1482,presidency,1
1483,similarly,1
1484,"champion,",1
1485,fitting,1
1486,Democrats,1
1487,Republicans,1
1488,bring,1
1489,agree,1
1490,revanchist,1
1491,ought,1
1492,serve,1
1493,call,1
1494,"or,",1
1495,Harvard,1
1496,scientist,1
1497,Samuel,1
1498,P.,1
1499,"it,",1
1500,“other”,1
1501,gives,1
1502,ideological,1
1503,"1997,",1
1504,"bloc,",1
1505,losing,1
1506,coherence,1
1507,opposition,1
1508,“other.”,1
1509,"republic,",1
1510,Britain,1
1511,offered,1
1512,necessary,1
1513,contrast:,1
1514,lived,1
1515,tyranny,1
1516,"hierarchy,",1
1517,"themselves,",1
1518,enjoyed,1
1519,equality.,1
1520,"So,",1
1521,"too,",1
1522,later,1
1523,Wilhelmine,1
1524,Germany,1
1525,provide,1
1526,"rivalry,",1
1527,Nazi,1
1528,totalitarianisms,1
1529,ravaged,1
1530,20th,1
1531,century.,1
1532,Union’s,1
1533,demise,1
1534,therefore,1
1535,prompted,1
1536,kind,1
1537,crisis.,1
1538,“While,1
1539,divisive,1
1540,effect,1
1541,"society,”",1
1542,"Huntington,",1
1543,“a,1
1544,promote,1
1545,weakening,1
1546,absence,1
1547,reverse.”,1
1548,quite,1
1549,anticipate,1
1550,identities—one,1
1551,"right,",1
1552,left—each,1
1553,enemy.,1
1554,pattern,1
1555,obtained,1
1556,earlier,1
1557,eras.,1
1558,Consider,1
1559,founding,1
1560,generation,1
1561,bitterly,1
1562,Revolutionary,1
1563,France,1
1564,Empire,1
1565,represented,1
1566,liberty.,1
1567,1900s,1
1568,saw,1
1569,debates,1
1570,"Germanophiles,",1
1571,progressives,1
1572,socialists,1
1573,German,1
1574,"extraction,",1
1575,Anglophiles,1
1576,embraced,1
1577,idea,1
1578,order,1
1579,jointly,1
1580,administered,1
1581,British-American,1
1582,condominium.,1
1583,difference,1
1584,twilight,1
1585,"leadership,",1
1586,clashes,1
1587,reverberate,1
1588,finds,1
1589,midst,1
1590,wars.,1
1591,To,1
1592,"liberals,",1
1593,geopolitical,1
1594,adversary.,1
1595,Even,1
1596,impoverished,1
1597,"state,",1
1598,fear,1
1599,deftness,1
1600,operatives,1
1601,connivance,1
1602,illiberal,1
1603,diverse,1
1604,within.,1
1605,Nationalist,1
1606,graver,1
1607,"interests,",1
1608,increasingly,1
1609,wielding,1
1610,resist,1
1611,counter,1
1612,"depredations,",1
1613,despite,1
1614,well,1
1615,result.,1
1616,imagination.,1
1617,There,1
1618,little,1
1619,doubt,1
1620,sought,1
1621,sow,1
1622,chaos,1
1623,division,1
1624,conviction,1
1625,throughout,1
1626,post-Soviet,1
1627,Eurasia.,1
1628,Though,1
1629,extent,1
1630,information,1
1631,operations,1
1632,influenced,1
1633,presidential,1
1634,"contested,",1
1635,notion,1
1636,played,1
1637,decisive,1
1638,article,1
1639,faith,1
1640,"critics,",1
1641,Vladimir,1
1642,perfect,1
1643,foil.,1
1644,ascendancy,1
1645,"by,",1
1646,rank,1
1647,"kleptocracy,",1
1648,explicit,1
1649,deranged,1
1650,"antiliberalism,",1
1651,enemies,1
1652,feminism.,1
1653,author,1
1654,Timothy,1
1655,Snyder,1
1656,"argued,",1
1657,Putinism’s,1
1658,crusade,1
1659,designed,1
1660,“to,1
1661,transform,1
1662,democracy,1
1663,nebulous,1
1664,innocence:,1
1665,voting,1
1666,west,1
1667,sodomy.”,1
1668,defining,1
1669,sexual,1
1670,"perversion,",1
1671,own,1
1672,regime,1
1673,masculinity,1
1674,"traditionalism,",1
1675,sovereignty,1
1676,conspiracy,1
1677,dissolve,1
1678,family.,1
1679,"short,",1
1680,rule,1
1681,"enemy,",1
1682,right-wing,1
1683,populists,1
1684,friend.,1
1685,An,1
1686,Putin’s,1
1687,redouble,1
1688,"liberalism,",1
1689,"multilateral,",1
1690,nondiscriminatory,1
1691,"basis,",1
1692,marginalizing,1
1693,conservatism,1
1694,retrograde.,1
1695,nato,1
1696,shored,1
1697,"up,",1
1698,"good,",1
1699,adopt,1
1700,attitude,1
1701,parties,1
1702,Central,1
1703,Eastern,1
1704,drift,1
1705,orbit.,1
1706,wouldn’t,1
